"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2023","98.99","98.26","99.52","97.82","27.48M","0.62%"
"01/01/2023","98.38","96.91","98.43","96.34","24.59M","2.71%"
"12/25/2022","95.78","96.22","96.41","95.61","17.01M","-1.00%"
"12/18/2022","96.75","98.05","98.06","96.69","17.87M","-1.89%"
"12/11/2022","98.61","98.30","99.26","97.58","28.36M","0.78%"
"12/04/2022","97.85","98.09","99.25","97.63","27.10M","-0.84%"
"11/27/2022","98.68","97.22","98.69","96.40","38.12M","1.62%"
"11/20/2022","97.11","96.54","97.18","96.04","16.59M","1.02%"
"11/13/2022","96.13","95.84","97.22","95.53","26.20M","0.20%"
"11/06/2022","95.94","93.54","96.18","93.07","25.08M","2.70%"
"10/30/2022","93.42","94.43","94.99","93.18","31.93M","-1.50%"
"10/23/2022","94.84","93.11","95.46","92.69","32.10M","1.83%"
"10/16/2022","93.14","94.96","95.11","92.48","26.25M","-1.21%"
"10/09/2022","94.28","95.08","95.43","93.97","27.28M","-0.99%"
"10/02/2022","95.22","96.72","97.69","95.07","42.93M","-0.80%"
"09/25/2022","95.99","96.29","96.88","94.51","40.06M","-0.86%"
"09/18/2022","96.82","98.31","98.61","96.28","28.46M","-1.88%"
"09/11/2022","98.68","99.97","100.05","98.45","22.34M","-1.01%"
"09/04/2022","99.69","99.90","100.26","99.35","25.49M","-0.83%"
"08/28/2022","100.52","101.58","101.72","99.73","30.75M","-1.42%"
"08/21/2022","101.97","102.40","102.49","101.29","27.57M","-0.50%"
"08/14/2022","102.48","104.17","104.32","102.36","23.44M","-1.14%"
"08/07/2022","103.66","104.00","104.71","103.14","30.19M","0.08%"
"07/31/2022","103.58","105.29","105.75","103.35","46.69M","-1.51%"
"07/24/2022","105.17","103.58","105.57","103.55","26.94M","0.91%"
"07/17/2022","104.22","102.42","104.46","101.80","72.30M","1.43%"
"07/10/2022","102.75","102.03","103.05","101.78","22.45M","1.24%"
"07/03/2022","101.49","103.75","104.02","101.37","19.13M","-1.70%"
"06/26/2022","103.24","100.57","103.97","100.32","81.39M","2.07%"
"06/19/2022","101.15","99.66","102.17","99.55","34.22M","0.95%"
"06/12/2022","100.20","99.66","100.46","97.99","43.49M","-0.53%"
"06/05/2022","100.73","102.31","102.43","100.60","19.57M","-1.78%"
"05/29/2022","102.56","103.61","103.63","102.33","18.03M","-1.77%"
"05/22/2022","104.41","103.57","104.59","103.20","22.77M","0.55%"
"05/15/2022","103.84","102.98","103.99","102.19","23.11M","1.20%"
"05/08/2022","102.61","101.14","103.57","101.09","36.67M","1.50%"
"05/01/2022","101.09","102.15","102.78","100.99","55.60M","-1.67%"
"04/24/2022","102.81","103.55","104.27","102.55","43.06M","0.07%"
"04/17/2022","102.74","103.53","103.54","102.27","33.66M","-0.68%"
"04/10/2022","103.44","103.78","104.91","103.32","32.07M","-0.68%"
"04/03/2022","104.15","106.76","106.78","104.00","39.71M","-2.34%"
"03/27/2022","106.65","106.25","107.62","106.12","46.21M","0.54%"
"03/20/2022","106.08","108.28","108.44","105.97","50.10M","-2.74%"
"03/13/2022","109.07","109.67","109.80","108.25","45.49M","-1.35%"
"03/06/2022","110.56","112.46","113.08","110.35","49.05M","-2.16%"
"02/27/2022","113.00","111.62","113.49","111.39","85.23M","1.93%"
"02/20/2022","110.86","110.97","111.54","110.48","43.60M","-0.32%"
"02/13/2022","111.22","110.54","111.23","109.94","45.82M","0.07%"
"02/06/2022","111.14","111.23","111.37","109.92","63.47M","-0.05%"
"01/30/2022","111.20","112.36","112.81","111.09","47.24M","-1.22%"
"01/23/2022","112.57","113.24","113.29","111.84","66.93M","-0.28%"
"01/16/2022","112.89","112.10","113.05","111.69","43.49M","0.28%"
"01/09/2022","112.58","112.45","113.43","112.38","43.54M","-0.14%"
"01/02/2022","112.74","114.37","114.41","112.47","81.65M","-1.97%"
"12/26/2021","115.00","115.28","115.58","114.67","41.55M","-0.28%"
"12/19/2021","115.32","116.20","116.35","115.18","34.19M","-0.59%"
"12/12/2021","116.01","115.63","116.33","115.28","35.90M","0.58%"
"12/05/2021","115.34","116.19","116.28","114.82","42.92M","-0.88%"
"11/28/2021","116.36","114.69","116.64","114.66","89.56M","0.86%"
"11/21/2021","115.37","114.33","115.39","113.50","44.62M","0.44%"
"11/14/2021","114.86","114.55","115.11","114.05","45.52M","0.21%"
"11/07/2021","114.62","115.52","115.98","114.38","53.53M","-0.94%"
"10/31/2021","115.71","114.22","115.81","114.19","69.32M","0.94%"
"10/24/2021","114.63","113.98","115.06","113.90","47.77M","0.59%"
"10/17/2021","113.96","114.25","114.52","113.63","39.69M","-0.55%"
"10/10/2021","114.59","114.23","115.21","114.13","40.07M","0.14%"
"10/03/2021","114.43","115.41","115.67","114.30","39.64M","-1.02%"
"09/26/2021","115.61","115.40","115.66","114.72","52.54M","-0.09%"
"09/19/2021","115.71","116.91","117.22","115.64","45.79M","-0.67%"
"09/12/2021","116.49","116.93","117.52","116.38","29.66M","-0.28%"
"09/05/2021","116.82","116.59","117.32","116.43","28.30M","-0.15%"
"08/29/2021","117.00","117.14","117.49","116.88","33.84M","-0.14%"
"08/22/2021","117.16","117.50","117.57","116.59","26.69M","-0.31%"
"08/15/2021","117.53","117.55","117.82","117.13","34.49M","0.25%"
"08/08/2021","117.24","117.20","117.31","116.43","39.12M","0.18%"
"08/01/2021","117.03","117.82","118.63","117.00","46.64M","-0.58%"
"07/25/2021","117.71","117.40","117.78","117.12","38.19M","0.42%"
"07/18/2021","117.22","117.74","118.52","116.97","49.89M","0.22%"
"07/11/2021","116.96","116.51","117.04","115.89","26.11M","0.47%"
"07/04/2021","116.41","115.89","117.19","115.89","29.45M","0.57%"
"06/27/2021","115.75","115.11","115.75","115.09","31.95M","0.75%"
"06/20/2021","114.89","115.26","115.41","114.69","27.70M","-0.56%"
"06/13/2021","115.54","115.49","115.58","114.31","43.75M","-0.06%"
"06/06/2021","115.61","114.63","115.79","114.60","23.92M","0.73%"
"05/30/2021","114.77","114.19","114.78","114.05","23.69M","0.32%"
"05/23/2021","114.40","114.27","114.81","114.20","26.65M","0.17%"
"05/16/2021","114.21","114.07","114.31","113.60","39.25M","0.05%"
"05/09/2021","114.15","114.54","114.63","113.47","43.19M","-0.30%"
"05/02/2021","114.49","113.96","114.95","113.92","43.78M","0.44%"
"04/25/2021","113.99","114.46","114.55","113.44","34.27M","-0.45%"
"04/18/2021","114.51","114.10","114.69","114.04","33.37M","0.19%"
"04/11/2021","114.29","113.52","114.76","113.42","35.30M","0.60%"
"04/04/2021","113.61","112.97","113.92","112.80","37.25M","0.22%"
"03/28/2021","113.36","113.68","113.69","112.78","29.24M","-0.19%"
"03/21/2021","113.58","113.32","114.24","113.23","43.84M","0.49%"
"03/14/2021","113.03","113.95","114.24","112.79","35.95M","-0.75%"
"03/07/2021","113.88","114.15","114.87","113.76","35.04M","-0.47%"
"02/28/2021","114.42","115.47","115.78","114.02","45.23M","-1.16%"
"02/21/2021","115.76","116.45","116.67","114.10","82.26M","-0.67%"
"02/14/2021","116.54","117.26","117.38","116.37","24.02M","-1.06%"
"02/07/2021","117.79","117.81","118.31","117.74","28.80M","-0.03%"
"01/31/2021","117.83","118.57","118.77","117.83","18.74M","-0.68%"
"01/24/2021","118.64","118.75","119.34","118.47","29.06M","0.05%"
"01/17/2021","118.58","118.28","118.60","118.23","17.27M","0.11%"
"01/10/2021","118.45","118.15","118.54","117.57","33.93M","0.18%"
"01/03/2021","118.24","119.68","120.06","118.13","36.67M","-1.43%"
"12/27/2020","119.95","119.61","120.00","119.54","11.01M","0.13%"
"12/20/2020","119.80","119.79","119.90","119.42","11.36M","0.17%"
"12/13/2020","119.60","119.84","120.15","119.58","17.24M","-0.46%"
"12/06/2020","120.15","119.61","120.27","119.46","20.42M","0.70%"
"11/29/2020","119.32","120.42","120.51","119.20","31.07M","-0.95%"
"11/22/2020","120.47","120.34","120.47","120.00","11.98M","-0.02%"
"11/15/2020","120.50","119.90","120.52","119.88","42.65M","0.43%"
"11/08/2020","119.98","119.59","120.15","119.19","30.80M","-0.43%"
"11/01/2020","120.50","120.34","121.06","119.82","47.29M","0.37%"
"10/25/2020","120.06","120.64","121.18","120.06","28.78M","-0.27%"
"10/18/2020","120.38","121.02","121.13","120.18","27.99M","-0.72%"
"10/11/2020","121.25","121.06","121.60","120.99","21.40M","0.20%"
"10/04/2020","121.01","121.35","121.40","120.78","29.62M","-0.55%"
"09/27/2020","121.68","122.04","122.22","121.43","27.26M","-0.32%"
"09/20/2020","122.08","122.01","122.14","121.76","17.45M","0.31%"
"09/13/2020","121.70","122.02","122.10","121.66","17.74M","-0.25%"
"09/06/2020","122.01","121.74","122.01","121.43","15.48M","0.44%"
"08/30/2020","121.47","121.40","122.39","121.30","24.17M","0.07%"
"08/23/2020","121.38","122.09","122.21","121.18","15.83M","-0.61%"
"08/16/2020","122.12","121.69","122.15","121.60","14.69M","0.57%"
"08/09/2020","121.43","122.70","122.72","121.25","23.17M","-0.90%"
"08/02/2020","122.53","122.52","123.09","122.46","17.51M","-0.22%"
"07/26/2020","122.80","122.44","122.89","122.12","38.09M","0.38%"
"07/19/2020","122.34","122.20","122.45","122.02","13.76M","0.25%"
"07/12/2020","122.03","121.71","122.25","121.68","10.17M","0.11%"
"07/05/2020","121.89","121.41","122.29","121.29","12.55M","0.14%"
"06/28/2020","121.72","121.93","122.19","121.35","44.23M","-0.20%"
"06/21/2020","121.97","121.66","122.07","121.24","11.67M","0.35%"
"06/14/2020","121.54","121.66","121.74","120.73","13.95M","0.12%"
"06/07/2020","121.39","119.67","121.85","119.66","20.92M","1.35%"
"05/31/2020","119.77","121.62","121.77","119.35","32.83M","-1.78%"
"05/24/2020","121.94","121.50","121.99","121.37","12.90M","0.05%"
"05/17/2020","121.88","121.66","121.88","121.06","10.82M","-0.06%"
"05/10/2020","121.95","121.51","122.23","121.08","15.54M","0.35%"
"05/03/2020","121.53","121.68","121.98","120.85","17.09M","-0.15%"
"04/26/2020","121.71","121.85","122.26","121.46","21.69M","-0.35%"
"04/19/2020","122.14","121.98","122.69","121.79","15.41M","0.32%"
"04/12/2020","121.75","120.85","122.30","120.67","11.70M","0.65%"
"04/05/2020","120.96","121.53","121.60","120.27","21.92M","-0.80%"
